origin_id,destination_id,entry_cost,network_cost,exit_cost,total_cost
Esquina,Esquina,73525.3653756,0.0000000,43033.8597195,428862.9035979
Esquina,Alvear,73525.3653756,284974.5121064,54225.0886254,412724.9661074
Esquina,Caa Cati,73525.3653756,453373.4908355,53874.0239636,580772.8801747
Esquina,Goya,73525.3653756,275595.2810599,110438.4221223,459559.0685578
Esquina,Itati,73525.3653756,436964.1495518,11574.0400685,522063.5549959
Esquina,Ituzaingo,73525.3653756,509459.7982580,89019.6438611,672004.8074947
Esquina,Lavalle,73525.3653756,275595.2810599,106240.8772861,455361.5237215
Esquina,Mburucuya,73525.3653756,312303.6785027,70259.0236677,456088.0675461
Esquina,Mercedes,73525.3653756,312303.6785027,120958.4717359,506787.5156143
Esquina,Monte Caseros,73525.3653756,161681.8518805,95745.4085424,330952.6257985
Esquina,Paso de los Libres,73525.3653756,284974.5121064,42843.1171416,401342.9946236
Esquina,Saladas,73525.3653756,312303.6785027,25493.9973584,411323.0412368
Esquina,San Cosme,73525.3653756,423016.4788432,97866.5581670,594408.4023857
Esquina,San Luis del Palmar,73525.3653756,312303.6785027,98360.0311749,484189.0750533
Esquina,La Cruz,73525.3653756,284974.5121064,42936.8868004,401436.7642824
Esquina,San Miguel,73525.3653756,453373.4908355,54043.1459510,580942.0021621
Esquina,San Roque,73525.3653756,312303.6785027,29716.4568725,415545.5007508
Esquina,Santo Tome,73525.3653756,509459.7982580,105262.4973187,688247.6609523
Esquina,Sauce,73525.3653756,161681.8518805,73063.9984597,308271.2157158
Alvear,Corrientes,54225.0886254,420558.1626955,73051.6273269,547834.8786478
Alvear,Bella Vista,54225.0886254,383615.5080712,93055.6682672,530896.2649638
Alvear,Beron de Astrada,54225.0886254,168398.9787291,52954.4878530,275578.5552074
Alvear,Concepcion,54225.0886254,273914.4868482,96068.0454887,424207.6209623
Alvear,Curuzu Cuatia,54225.0886254,123292.6602260,30906.1577404,208423.9065918
Alvear,Empedrado,54225.0886254,273914.4868482,43033.8597195,371173.4351932
Alvear,Esquina,54225.0886254,284974.5121064,73525.3653756,412724.9661074
Alvear,Alvear,54225.0886254,0.0000000,73525.3653756,412724.9661074
Alvear,Caa Cati,54225.0886254,168398.9787291,53874.0239636,276498.0913181
Alvear,Goya,54225.0886254,383615.5080712,110438.4221223,548279.0188189
Alvear,Itati,54225.0886254,398574.9578973,11574.0400685,464374.0865912
Alvear,Ituzaingo,54225.0886254,224485.2861516,89019.6438611,367730.0186381
Alvear,Lavalle,54225.0886254,383615.5080712,106240.8772861,544081.4739827
Alvear,Mburucuya,54225.0886254,273914.4868482,70259.0236677,398398.5991414
Alvear,Mercedes,54225.0886254,273914.4868482,120958.4717359,449098.0472095
Alvear,Monte Caseros,54225.0886254,123292.6602260,95745.4085424,273263.1573938
Alvear,Paso de los Libres,54225.0886254,123292.6602260,95745.4085424,273263.1573938
Alvear,Saladas,54225.0886254,273914.4868482,25493.9973584,353633.5728320
Alvear,San Cosme,54225.0886254,420558.1626955,97866.5581670,572649.8094879
Alvear,San Luis del Palmar,54225.0886254,273914.4868482,98360.0311749,426499.6066486
Alvear,La Cruz,54225.0886254,273914.4868482,98360.0311749,426499.6066486
Alvear,San Miguel,54225.0886254,168398.9787291,54043.1459510,276667.2133054
Alvear,San Roque,54225.0886254,273914.4868482,29716.4568725,357856.0323461
Alvear,Santo Tome,54225.0886254,224485.2861516,105262.4973187,383972.8720957
Alvear,Sauce,54225.0886254,123292.6602260,73063.9984597,250581.7473111
Caa Cati,Corrientes,53874.0239636,331590.9513385,73051.6273269,458516.6026290
Caa Cati,Bella Vista,53874.0239636,294648.2967142,93055.6682672,441577.9889449
Caa Cati,Beron de Astrada,53874.0239636,294648.2967142,93055.6682672,441577.9889449
Caa Cati,Concepcion,53874.0239636,184947.2754912,96068.0454887,334889.3449435
Caa Cati,Curuzu Cuatia,53874.0239636,291691.6389550,30906.1577404,376471.8206591
Caa Cati,Empedrado,53874.0239636,184947.2754912,43033.8597195,281855.1591743
Caa Cati,Esquina,53874.0239636,453373.4908355,73525.3653756,580772.8801747
Caa Cati,Alvear,53874.0239636,168398.9787291,54225.0886254,276498.0913181
Caa Cati,Caa Cati,53874.0239636,0.0000000,54225.0886254,276498.0913181
Caa Cati,Goya,53874.0239636,294648.2967142,110438.4221223,458960.7428001
Caa Cati,Itati,53874.0239636,309607.7465402,11574.0400685,375055.8105723
Caa Cati,Ituzaingo,53874.0239636,128748.8497975,89019.6438611,271642.5176222
Caa Cati,Lavalle,53874.0239636,294648.2967142,106240.8772861,454763.1979638
Caa Cati,Mburucuya,53874.0239636,184947.2754912,70259.0236677,309080.3231226
Caa Cati,Mercedes,53874.0239636,184947.2754912,120958.4717359,359779.7711907
Caa Cati,Monte Caseros,53874.0239636,291691.6389550,95745.4085424,441311.0714611
Caa Cati,Paso de los Libres,53874.0239636,168398.9787291,42843.1171416,265116.1198342
Caa Cati,Saladas,53874.0239636,184947.2754912,25493.9973584,264315.2968132
Caa Cati,San Cosme,53874.0239636,331590.9513385,97866.5581670,483331.5334690
Caa Cati,San Luis del Palmar,53874.0239636,184947.2754912,98360.0311749,337181.3306297
Caa Cati,La Cruz,53874.0239636,168398.9787291,42936.8868004,265209.8894930
Caa Cati,San Miguel,53874.0239636,168398.9787291,42936.8868004,265209.8894930
Caa Cati,San Roque,53874.0239636,184947.2754912,29716.4568725,268537.7563273
Caa Cati,Santo Tome,53874.0239636,128748.8497975,105262.4973187,287885.3710798
Caa Cati,Sauce,53874.0239636,291691.6389550,73063.9984597,418629.6613783
Goya,Corrientes,110438.4221223,147421.1977833,73051.6273269,330911.2472325
Goya,Bella Vista,110438.4221223,147421.1977833,73051.6273269,330911.2472325
Goya,Beron de Astrada,110438.4221223,294648.2967142,52954.4878530,458041.2066894
Goya,Concepcion,110438.4221223,109701.0212230,96068.0454887,316207.4888339
Goya,Curuzu Cuatia,110438.4221223,260322.8478452,30906.1577404,401667.4277080
Goya,Empedrado,110438.4221223,109701.0212230,43033.8597195,263173.3030648
Goya,Esquina,110438.4221223,275595.2810599,73525.3653756,459559.0685578
Goya,Alvear,110438.4221223,383615.5080712,54225.0886254,548279.0188189
Goya,Caa Cati,110438.4221223,294648.2967142,53874.0239636,458960.7428001
Goya,Goya,110438.4221223,0.0000000,53874.0239636,458960.7428001
Goya,Itati,110438.4221223,234361.4922720,11574.0400685,356373.9544628
Goya,Ituzaingo,110438.4221223,423397.1465116,89019.6438611,622855.2124951
Goya,Lavalle,110438.4221223,423397.1465116,89019.6438611,622855.2124951
Goya,Mburucuya,110438.4221223,109701.0212230,70259.0236677,290398.4670130
Goya,Mercedes,110438.4221223,109701.0212230,120958.4717359,341097.9150811
Goya,Monte Caseros,110438.4221223,260322.8478452,95745.4085424,466506.6785100
Goya,Paso de los Libres,110438.4221223,383615.5080712,42843.1171416,536897.0473351
Goya,Saladas,110438.4221223,109701.0212230,25493.9973584,245633.4407037
Goya,San Cosme,110438.4221223,147421.1977833,97866.5581670,355726.1780726
Goya,San Luis del Palmar,110438.4221223,109701.0212230,98360.0311749,318499.4745202
Goya,La Cruz,110438.4221223,383615.5080712,42936.8868004,536990.8169939
Goya,San Miguel,110438.4221223,294648.2967142,54043.1459510,459129.8647874
Goya,San Roque,110438.4221223,109701.0212230,29716.4568725,249855.9002177
Goya,Santo Tome,110438.4221223,423397.1465116,105262.4973187,639098.0659527
Goya,Sauce,110438.4221223,260322.8478452,73063.9984597,443825.2684273
Itati,Corrientes,11574.0400685,112180.6738633,73051.6273269,196806.3412587
Itati,Bella Vista,11574.0400685,234361.4922720,93055.6682672,338991.2006077
Itati,Beron de Astrada,11574.0400685,309607.7465402,52954.4878530,374136.2744617
Itati,Concepcion,11574.0400685,124660.4710490,96068.0454887,232302.5566062
Itati,Curuzu Cuatia,11574.0400685,275282.2976713,30906.1577404,317762.4954803
Itati,Empedrado,11574.0400685,124660.4710490,43033.8597195,179268.3708370
Itati,Esquina,11574.0400685,436964.1495518,73525.3653756,522063.5549959
Itati,Alvear,11574.0400685,398574.9578973,54225.0886254,464374.0865912
Itati,Caa Cati,11574.0400685,309607.7465402,53874.0239636,375055.8105723
Itati,Goya,11574.0400685,234361.4922720,110438.4221223,356373.9544628
Itati,Itati,11574.0400685,0.0000000,110438.4221223,356373.9544628
Itati,Ituzaingo,11574.0400685,438356.5963377,89019.6438611,538950.2802673
Itati,Lavalle,11574.0400685,234361.4922720,106240.8772861,352176.4096265
Itati,Mburucuya,11574.0400685,124660.4710490,70259.0236677,206493.5347853
Itati,Mercedes,11574.0400685,124660.4710490,120958.4717359,257192.9828534
Itati,Monte Caseros,11574.0400685,275282.2976713,95745.4085424,382601.7462822
Itati,Paso de los Libres,11574.0400685,398574.9578973,42843.1171416,452992.1151074
Itati,Saladas,11574.0400685,124660.4710490,25493.9973584,161728.5084759
Itati,San Cosme,11574.0400685,112180.6738633,97866.5581670,221621.2720987
Itati,San Luis del Palmar,11574.0400685,124660.4710490,98360.0311749,234594.5422924
Itati,La Cruz,11574.0400685,398574.9578973,42936.8868004,453085.8847661
Itati,San Miguel,11574.0400685,309607.7465402,54043.1459510,375224.9325597
Itati,San Roque,11574.0400685,124660.4710490,29716.4568725,165950.9679900
Itati,Santo Tome,11574.0400685,438356.5963377,105262.4973187,555193.1337249
Itati,Sauce,11574.0400685,275282.2976713,73063.9984597,359920.3361995
Ituzaingo,Corrientes,89019.6438611,460339.8011360,73051.6273269,622411.0723240
Ituzaingo,Bella Vista,89019.6438611,423397.1465116,93055.6682672,605472.4586400
Ituzaingo,Beron de Astrada,89019.6438611,128748.8497975,52954.4878530,270722.9815116
Ituzaingo,Concepcion,89019.6438611,313696.1252887,96068.0454887,498783.8146385
Ituzaingo,Curuzu Cuatia,89019.6438611,347777.9463775,30906.1577404,467703.7479791
Ituzaingo,Empedrado,89019.6438611,313696.1252887,43033.8597195,445749.6288693
Ituzaingo,Esquina,89019.6438611,509459.7982580,73525.3653756,672004.8074947
Ituzaingo,Alvear,89019.6438611,224485.2861516,54225.0886254,367730.0186381
Ituzaingo,Caa Cati,89019.6438611,128748.8497975,53874.0239636,271642.5176222
Ituzaingo,Goya,89019.6438611,423397.1465116,110438.4221223,622855.2124951
Ituzaingo,Itati,89019.6438611,438356.5963377,11574.0400685,538950.2802673
Ituzaingo,Ituzaingo,89019.6438611,0.0000000,11574.0400685,538950.2802673
Ituzaingo,Lavalle,89019.6438611,423397.1465116,106240.8772861,618657.6676588
Ituzaingo,Mburucuya,89019.6438611,313696.1252887,70259.0236677,472974.7928176
Ituzaingo,Mercedes,89019.6438611,313696.1252887,120958.4717359,523674.2408857
Ituzaingo,Monte Caseros,89019.6438611,347777.9463775,95745.4085424,532542.9987811
